Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
1;43.643051;-79.391643;2150.0;361 Front St W;1;1.0;2.0;2150.000000;M5V
2;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
3;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
4;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
5;43.634890;-79.434654;1729.0;87 Jameson Avenue;1;1.0;2.0;1729.000000;M6K
7;43.640918;-79.393982;1900.0;25 Telegram Mews;1;1.0;2.0;1900.000000;M5V
9;43.640068;-79.399960;2400.0;70 Queens Wharf Rd 33rd Floor;1;1.0;2.0;2400.000000;M5V
10;43.668468;-79.374834;1750.0;545 - 555 Sherbourne Street;1;1.0;2.0;1750.000000;M4X
11;43.668468;-79.374834;2000.0;545 - 555 Sherbourne Street;2;1.0;3.0;1333.333333;M4X
12;43.664723;-79.384084;2200.0;555 Yonge St;1;1.0;2.0;2200.000000;M4Y
15;43.656741;-79.369995;1799.0;191 - 201 Sherbourne;1;1.0;2.0;1799.000000;M5A
16;43.656741;-79.369995;1899.0;191 - 201 Sherbourne;1;1.0;2.0;1899.000000;M5A
17;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
19;43.639406;-79.393232;3150.0;11 Brunel Ct;2;2.0;4.0;1575.000000;M5V
20;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
21;43.648005;-79.396834;2500.0;438 Richmond St W;1;1.0;2.0;2500.000000;M5V
22;43.641873;-79.381906;2400.0;12 York St;1;1.0;2.0;2400.000000;M5J
24;43.642314;-79.381229;3100.0;York St;2;2.0;4.0;1550.000000;M5J
26;43.759886;-79.443138;1250.0;;1;1.0;2.0;1250.000000;M3H
30;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
31;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
32;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
33;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
35;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
36;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
37;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
38;43.670878;-79.376696;1950.0;28 Linden Street;1;1.0;2.0;1950.000000;M4Y
39;43.661927;-79.386511;2250.0;832 Bay St;1;1.0;2.0;2250.000000;M5S
45;43.637153;-79.427092;2230.0;200 Dufferin Street;2;1.0;3.0;1486.666667;M6K
46;43.664056;-79.373790;1785.0;392 Sherbourne Street;1;1.0;2.0;1785.000000;M5A
47;43.664056;-79.373790;1535.0;392 Sherbourne Street;1;1.0;2.0;1535.000000;M5A
48;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
49;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
50;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
52;43.637153;-79.427092;1475.0;200 Dufferin Street;1;1.0;2.0;1475.000000;M6K
53;43.664581;-79.382296;1815.0;36 Maitland Street;1;1.0;2.0;1815.000000;M4Y
54;43.637153;-79.427092;1755.0;200 Dufferin Street;1;1.0;2.0;1755.000000;M6K
55;43.645077;-79.364342;2450.0;15 Merchants Wharf;1;1.0;2.0;2450.000000;M5A
56;43.652210;-79.370799;2200.0;105 George St;1;1.0;2.0;2200.000000;M5A
59;43.639406;-79.393232;2424.0;11 Brunel Ct;1;1.0;2.0;2424.000000;M5V
60;43.670159;-79.375638;1700.0;565 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
61;43.668468;-79.374834;1400.0;545 - 555 Sherbourne Street;1;1.0;2.0;1400.000000;M4X
62;43.668468;-79.374834;1700.0;545 - 555 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
66;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
67;43.648900;-79.392205;2550.0;318 Richmond St W;1;1.0;2.0;2550.000000;M5V
68;43.639406;-79.393232;3150.0;11 Brunel Ct;2;2.0;4.0;1575.000000;M5V
71;43.641806;-79.378981;1830.0;100 Harbour St;1;1.0;2.0;1830.000000;M5J
72;43.665588;-79.383028;2000.0;28 Wellesley Street East;1;1.0;2.0;2000.000000;M4Y
73;43.691147;-79.471435;1850.0;2548 Eglinton Ave W;2;1.0;3.0;1233.333333;M6M
74;43.648858;-79.433007;1300.0;101 Sheridan Ave;2;1.0;3.0;866.666667;M6K
75;43.642679;-79.376994;2275.0;33 Bay St;1;1.0;2.0;2275.000000;M5E
77;43.640223;-79.395951;2500.0;10 Capreol Ct;1;2.0;3.0;1666.666667;M5V
79;43.641908;-79.381780;2000.0;14 York St;1;1.0;2.0;2000.000000;M5J
80;43.640351;-79.427522;2574.0;295 Dufferin St.;2;1.0;3.0;1716.000000;M6K
81;43.640351;-79.427522;2591.0;295 Dufferin St.;2;1.0;3.0;1727.333333;M6K
83;43.654155;-79.385211;550.0;89 Chestnut St;1;1.0;2.0;550.000000;M5G
84;43.643208;-79.392110;3200.0;Front St W;2;2.0;4.0;1600.000000;M5V
86;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
87;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
