Occurrence_year,Homicide_Type,Neighbourhood,Lat,Long,postcode
0,2004,Other,Rosedale-Moore Park (98),43.685028,-79.392853,M4T 1X3
1,2004,Shooting,Woburn (137),43.781536,-79.234962,M1H 2G3
2,2004,Shooting,Malvern (132),43.810860,-79.206894,M1B 3A9
3,2004,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.670475,-79.434403,M6H 2B5
4,2004,Shooting,Rouge (131),43.823543,-79.203865,M1B 5J2
5,2004,Stabbing,Downsview-Roding-CFB (26),43.720917,-79.508636,M3M 1V1
6,2004,Shooting,Downsview-Roding-CFB (26),43.722366,-79.508980,M3M 1V1
7,2004,Other,Mount Olive-Silverstone-Jamestown (2),43.743115,-79.592865,M9V 2E9
8,2004,Shooting,Rouge (131),43.816269,-79.227600,M1B 1Y3
9,2004,Shooting,Clairlea-Birchmount (120),43.700085,-79.286728,M1L 3H1
10,2004,Shooting,Agincourt North (129),43.808029,-79.266502,M1S 3Y7
11,2004,Stabbing,Woburn (137),43.766472,-79.241806,M1H 1H1
12,2004,Other,Bedford Park-Nortown (39),43.709606,-79.427460,M6B 2Y8
13,2004,Other,Woburn (137),43.759827,-79.225327,M1H 2A2
14,2004,Other,Moss Park (73),43.658295,-79.371033,M5A 1Z9
15,2004,Shooting,Elms-Old Rexdale (5),43.725098,-79.550568,M9W 2N8
16,2004,Shooting,Mount Olive-Silverstone-Jamestown (2),43.735081,-79.579880,M9V 3M5
17,2004,Shooting,Old East York (58),43.695946,-79.328781,M4C 2Z7
18,2004,Shooting,Black Creek (24),43.769165,-79.518761,M3N 2S6
19,2004,Stabbing,Alderwood (20),43.594315,-79.544144,M8W 1R2
20,2004,Shooting,Regent Park (72),43.660088,-79.362999,M5A 2B7
21,2004,Other,Thistletown-Beaumond Heights (3),43.735508,-79.578308,M9W 0C6
22,2004,Other,Yorkdale-Glen Park (31),43.710167,-79.457046,M6B 3T4
23,2004,Other,Roncesvalles (86),43.642464,-79.438751,M6K 3L2
24,2004,Other,Moss Park (73),43.660656,-79.374847,M5A 2L3
25,2004,Shooting,South Parkdale (85),43.635983,-79.428131,M6K 1A9
26,2004,Stabbing,Moss Park (73),43.654526,-79.369461,M5A 1S2
27,2004,Shooting,Pelmo Park-Humberlea (23),43.711205,-79.535179,M9N 3V9
28,2004,Shooting,Black Creek (24),43.772144,-79.522667,M3N 1V5
29,2004,Stabbing,Oakridge (121),43.699543,-79.275803,M1L 3Z3
30,2004,Stabbing,Stonegate-Queensway (16),43.630154,-79.485252,M8Y 1J3
31,2004,Stabbing,Rustic (28),43.708416,-79.505348,M9N 2S4
32,2004,Stabbing,Willowdale East (51),43.767475,-79.412445,M2N 6C6
33,2004,Shooting,Hillcrest Village (48),43.800861,-79.356339,M2H 2C6
34,2004,Other,Junction Area (90),43.663254,-79.467651,NOTAVAIL
35,2004,Shooting,Moss Park (73),43.650684,-79.366692,M5A 4M8
36,2004,Other,Dovercourt-Wallace Emerson-Junction (93),43.663322,-79.453392,NOTAVAIL
37,2004,Stabbing,Rustic (28),43.702881,-79.503838,M9N 2S4
38,2004,Stabbing,Briar Hill-Belgravia (108),43.702255,-79.441109,M6E 3B5
39,2004,Shooting,Highland Creek (134),43.793850,-79.157783,M1C 0C3
40,2004,Other,Moss Park (73),43.652351,-79.372719,M5C 3H5
41,2004,Stabbing,Humber Summit (21),43.750652,-79.549072,M9M 2C7
42,2004,Shooting,Kingsview Village-The Westway (6),43.700642,-79.561440,M9W 1B3
43,2004,Shooting,West Humber-Clairville (1),43.732193,-79.614273,M9W 5L7
44,2004,Other,York University Heights (27),43.745331,-79.492401,M3J 3C8
45,2004,Other,South Riverdale (70),43.660564,-79.337273,M4M 1K2
46,2004,Shooting,Rustic (28),43.711269,-79.500549,M6L 3E2
47,2004,Other,Mount Pleasant East (99),43.701023,-79.378586,M4S 1H2
48,2010,Other,Glenfield-Jane Heights (25),43.739391,-79.513222,M3L 2E8
49,2004,Other,Corso Italia-Davenport (92),43.676308,-79.450600,M6E 1C3
50,2004,Stabbing,Dovercourt-Wallace Emerson-Junction (93),43.669308,-79.428719,M6G 3V5
51,2004,Stabbing,Dovercourt-Wallace Emerson-Junction (93),43.669308,-79.428719,M6G 3V5
52,2004,Other,Centennial Scarborough (133),43.781632,-79.169952,M1C 1B7
53,2004,Stabbing,Old East York (58),43.695946,-79.328781,M4C 2Z7
54,2004,Other,High Park North (88),43.651882,-79.472870,NOTAVAIL
55,2004,Stabbing,St.Andrew-Windfields (40),43.752152,-79.384972,M2L 2K4
56,2004,Stabbing,University (79),43.657654,-79.401848,M5T 1S3
57,2004,Stabbing,O'Connor-Parkview (54),43.708347,-79.310654,M4B 3J9
58,2004,Shooting,Church-Yonge Corridor (75),43.660671,-79.378876,M5B 1J6
59,2004,Shooting,Kennedy Park (124),43.730751,-79.256516,M1K 2R5
60,2004,Shooting,Flemingdon Park (44),43.712254,-79.329292,M3C 3E7
61,2004,Stabbing,Cliffcrest (123),43.735382,-79.235916,M1M 2A4
62,2004,Other,Malvern (132),43.791882,-79.236061,M1S 4N8
63,2004,Shooting,Maple Leaf (29),43.714722,-79.479462,M6L 2K5
64,2005,Stabbing,Milliken (130),43.827381,-79.265244,M1V 5P6
65,2005,Stabbing,Dovercourt-Wallace Emerson-Junction (93),43.665382,-79.424461,M6G 3N1
66,2005,Shooting,Niagara (82),43.642910,-79.407715,M6J 2L3
67,2005,Shooting,Niagara (82),43.642910,-79.407715,M6J 2L3
68,2005,Shooting,Dorset Park (126),43.769424,-79.282257,M1P 5B7
69,2005,Other,Weston-Pellam Park (91),43.670338,-79.455795,NOTAVAIL
70,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.753620,-79.587097,M9V 5C7
71,2005,Shooting,Dorset Park (126),43.769424,-79.282257,M1P 5B7
72,2005,Shooting,North St.James Town (74),43.667297,-79.373779,M4X 1P8
73,2005,Other,Mimico (includes Humber Bay Shores) (17),43.613285,-79.491875,M8V 1C5
74,2005,Shooting,Newtonbrook West (36),43.785919,-79.446053,M2R 1Z9
75,2005,Shooting,Banbury-Don Mills (42),43.740986,-79.356308,M3B 1H4
76,2005,Stabbing,Stonegate-Queensway (16),43.623920,-79.498238,M8Y 2Z7
77,2005,Shooting,Church-Yonge Corridor (75),43.661877,-79.379372,M5B 2J6
78,2005,Shooting,Birchcliffe-Cliffside (122),43.685314,-79.281258,M1N 2S4
79,2005,Shooting,South Parkdale (85),43.637180,-79.436035,M6K 1M3
80,2005,Other,Waterfront Communities-The Island (77),43.642391,-79.384010,M5J 3A6
81,2005,Shooting,Humber Summit (21),43.751442,-79.552986,M9L 1X9
82,2005,Stabbing,Agincourt North (129),43.807812,-79.284157,M1V 1H6
83,2005,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.659885,-79.435364,M6H 1M7
84,2005,Stabbing,Glenfield-Jane Heights (25),43.755215,-79.515358,M3N 2V2
85,2005,Shooting,Danforth (66),43.679569,-79.341774,M4K 1P6
86,2005,Shooting,Church-Yonge Corridor (75),43.667374,-79.381638,M4Y 2C7
87,2005,Shooting,Agincourt South-Malvern West (128),43.784107,-79.241631,M1S 3R1
88,2005,Shooting,West Hill (136),43.758167,-79.193054,M1E 1W7
89,2005,Stabbing,Glenfield-Jane Heights (25),43.739674,-79.509682,M3L 1Y6
90,2005,Shooting,East End-Danforth (62),43.689720,-79.294922,M4C 1M1
91,2005,Shooting,Black Creek (24),43.766773,-79.521873,M3N 1S9
92,2005,Stabbing,Englemount-Lawrence (32),43.720131,-79.441025,M6A 2N4
93,2005,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.666431,-79.438187,M6H 3G4
94,2005,Shooting,Humber Summit (21),43.746250,-79.568619,M9V 1V9
95,2005,Other,Oakridge (121),43.694626,-79.272530,M1L 1E3
96,2005,Shooting,Rockcliffe-Smythe (111),43.678806,-79.482903,NOTAVAIL
97,2005,Other,Parkwoods-Donalda (45),43.743374,-79.325851,M3A 1E9
98,2005,Other,West Hill (136),43.769825,-79.191681,M1E 1X5
99,2005,Shooting,Englemount-Lawrence (32),43.720131,-79.441025,M6A 2N4
100,2005,Shooting,L'Amoreaux (117),43.796776,-79.315765,M1W 2R5
101,2012,Shooting,Dufferin Grove (83),43.654278,-79.437302,M6H 1N4
102,2012,Shooting,Lansing-Westgate (38),43.757469,-79.425423,M2N 1N1
103,2012,Shooting,Lansing-Westgate (38),43.757469,-79.425423,M2N 1N1
104,2012,Other,L'Amoreaux (117),43.784492,-79.315231,M1T 1P7
105,2012,Other,Willowdale East (51),43.765659,-79.411995,M2N 7G9
106,2010,Stabbing,Casa Loma (96),43.680050,-79.415855,M5R 3E6
107,2012,Stabbing,Kingsway South (15),43.649403,-79.519646,M9A 3N7
108,2010,Other,Dovercourt-Wallace Emerson-Junction (93),43.665375,-79.443443,M6H 2A6
109,2010,Stabbing,High Park-Swansea (87),43.640427,-79.473381,NOTAVAIL
110,2010,Other,New Toronto (18),43.599327,-79.511864,M8V 1K3
111,2010,Stabbing,Kingsview Village-The Westway (6),43.694252,-79.558647,M9R 2K5
112,2010,Stabbing,Rockcliffe-Smythe (111),43.676105,-79.505943,NOTAVAIL
113,2010,Shooting,York University Heights (27),43.744782,-79.486450,M3J 1P5
114,2010,Stabbing,Annex (95),43.668392,-79.402023,M5R 2R3
115,2012,Shooting,Rockcliffe-Smythe (111),43.672764,-79.487625,NOTAVAIL
116,2012,Stabbing,Wexford/Maryvale (119),43.732555,-79.305893,M1R 1P8
117,2012,Other,High Park North (88),43.657547,-79.465248,NOTAVAIL
118,2012,Shooting,Englemount-Lawrence (32),43.722610,-79.441864,NOTAVAIL
119,2012,Shooting,Yonge-Eglinton (100),43.697929,-79.403320,M5P 1C7
120,2012,Other,Oakridge (121),43.703220,-79.279518,M1L 3Z3
121,2012,Shooting,Lambton Baby Point (114),43.664887,-79.501503,NOTAVAIL
122,2012,Other,Moss Park (73),43.650734,-79.370689,M5A 1J4
123,2012,Shooting,Centennial Scarborough (133),43.786495,-79.155266,M1C 0A1
124,2012,Shooting,Church-Yonge Corridor (75),43.654064,-79.379974,M5B 1M4
125,2012,Shooting,Church-Yonge Corridor (75),43.654064,-79.379974,M5B 1M4
126,2012,Shooting,Palmerston-Little Italy (80),43.655247,-79.418327,M6G 1C2
127,2012,Shooting,Dorset Park (126),43.769424,-79.282257,M1P 5B7
128,2012,Shooting,Willowdale East (51),43.756504,-79.406570,M2N 0C2
129,2012,Shooting,Islington-City Centre West (14),43.649071,-79.558350,M9B 2A8
130,2012,Shooting,West Hill (136),43.764870,-79.184883,M1E 4S6
131,2012,Shooting,West Hill (136),43.764870,-79.184883,M1E 4S6
132,2012,Shooting,Mount Dennis (115),43.684383,-79.504219,NOTAVAIL
133,2012,Shooting,Englemount-Lawrence (32),43.719486,-79.443909,M6A 2N4
134,2012,Other,Agincourt South-Malvern West (128),43.781223,-79.254982,M1S 3P6
135,2012,Shooting,Black Creek (24),43.767212,-79.514770,M3N 2K7
136,2012,Other,Malvern (132),43.806538,-79.218651,M1B 3G5
137,2012,Other,Clairlea-Birchmount (120),43.727947,-79.282761,M1L 2M3
