X,Y
59.334591,18.06324
59.334641,18.06329
59.334691,18.06334
59.334741,18.06339
59.334791,18.06344
59.334841,18.06349
59.334891,18.06354
59.334941,18.06359
59.334991,18.06364
59.335041,18.06369
59.335091,18.06374
59.335141,18.06379
59.335191,18.06384
59.335241,18.06389
59.335291,18.06394
59.335341,18.06399
59.335391,18.06404
59.335441,18.06409
59.335491,18.06414
59.335541,18.06419
59.335591,18.06424
59.335641,18.06429
59.335691,18.06434
59.335741,18.06439
59.335791,18.06444
59.335841,18.06449
59.335891,18.06454
59.335941,18.06459
59.335991,18.06464
59.336041,18.06469
59.336091,18.06474
59.336141,18.06479
59.336191,18.06484
59.336241,18.06489
59.336291,18.06494
59.336341,18.06499
59.336391,18.06504
59.336441,18.06509
59.336491,18.06514
59.336541,18.06519
59.336591,18.06524
59.336641,18.06529
59.336691,18.06534
59.336741,18.06539
59.336791,18.06544
59.336841,18.06549
59.336891,18.06554
59.336941,18.06559
59.336991,18.06564
59.337041,18.06569
59.337091,18.06574
59.337141,18.06579
59.337191,18.06584
59.337241,18.06589
59.337291,18.06594
59.337341,18.06599
59.337391,18.06604
59.337441,18.06609
59.337491,18.06614
59.337541,18.06619
59.337591,18.06624
59.337641,18.06629
59.337691,18.06634
59.337741,18.06639
59.337791,18.06644
59.337841,18.06649
59.337891,18.06654
59.337941,18.06659
59.337991,18.06664
59.338041,18.06669
59.338091,18.06674
59.338141,18.06679
59.338191,18.06684
59.338241,18.06689
59.338291,18.06694
59.338341,18.06699
59.338391,18.06704
59.338441,18.06709
59.338491,18.06714
59.338541,18.06719
59.338591,18.06724
59.338641,18.06729
59.338691,18.06734
59.338741,18.06739
59.338791,18.06744
59.338841,18.06749
59.338891,18.06754
59.338941,18.06759
59.338991,18.06764
59.339041,18.06769
59.339091,18.06774
59.339141,18.06779
59.339191,18.06784
59.339241,18.06789
59.339291,18.06794
59.339341,18.06799
59.339391,18.06804
59.339441,18.06809
59.339491,18.06814
59.339541,18.06819
59.339591,18.06824
59.339641,18.06829
59.339691,18.06834
59.339741,18.06839
59.339791,18.06844
59.339841,18.06849
59.339891,18.06854
59.339941,18.06859
59.339991,18.06864
59.340041,18.06869
59.340091,18.06874
59.340141,18.06879
59.340191,18.06884
59.340241,18.06889
59.340291,18.06894
59.340341,18.06899
59.340391,18.06904
59.340441,18.06909
59.340491,18.06914
59.340541,18.06919
59.340591,18.06924
59.340641,18.06929
59.340691,18.06934
59.340741,18.06939
59.340791,18.06944
59.340841,18.06949
59.340891,18.06954
59.340941,18.06959
59.340991,18.06964
59.341041,18.06969
59.341091,18.06974
59.341141,18.06979
59.341191,18.06984
59.341241,18.06989
59.341291,18.06994
59.341341,18.06999
59.341391,18.07004
59.341441,18.07009
59.341491,18.07014
59.341541,18.07019
59.341591,18.07024
59.341641,18.07029
59.341691,18.07034
59.341741,18.07039
59.341791,18.07044
59.341841,18.07049
59.341891,18.07054
59.341941,18.07059
59.341991,18.07064
59.342041,18.07069
59.342091,18.07074
59.342141,18.07079
59.342191,18.07084
59.342241,18.07089
59.342291,18.07094
59.342341,18.07099
59.342391,18.07104
59.342441,18.07109
59.342491,18.07114
59.342541,18.07119
59.342591,18.07124
59.342641,18.07129
59.342691,18.07134
59.342741,18.07139
59.342791,18.07144
59.342841,18.07149
59.342891,18.07154
59.342941,18.07159
59.342991,18.07164
59.343041,18.07169
59.343091,18.07174
59.343141,18.07179
59.343191,18.07184
59.343241,18.07189
59.343291,18.07194
59.343341,18.07199
59.343391,18.07204
59.343441,18.07209
59.343491,18.07214
59.343541,18.07219
59.343591,18.07224
59.343641,18.07229
59.343691,18.07234
59.343741,18.07239
59.343791,18.07244
59.343841,18.07249
59.343891,18.07254
59.343941,18.07259
59.343991,18.07264
59.344041,18.07269
59.344091,18.07274
59.344141,18.07279
59.344191,18.07284
59.344241,18.07289
59.344291,18.07294
59.344341,18.07299
59.344391,18.07304
59.344441,18.07309
59.344491,18.07314
59.344541,18.07319
59.344591,18.07324
59.344641,18.07329
59.344691,18.07334
59.344741,18.07339
59.344791,18.07344
59.344841,18.07349
59.344891,18.07354
59.344941,18.07359
59.344991,18.07364
59.345041,18.07369
59.345091,18.07374
59.345141,18.07379
59.345191,18.07384
59.345241,18.07389
59.345291,18.07394
59.345341,18.07399
59.345391,18.07404
59.345441,18.07409
59.345491,18.07414
59.345541,18.07419
59.345591,18.07424
59.345641,18.07429
59.345691,18.07434
59.345741,18.07439
59.345791,18.07444
59.345841,18.07449
59.345891,18.07454
59.345941,18.07459
59.345991,18.07464
59.346041,18.07469
59.346091,18.07474
59.346141,18.07479
59.346191,18.07484
59.346241,18.07489
59.346291,18.07494
59.346341,18.07499
59.346391,18.07504
59.346441,18.07509
59.346491,18.07514
59.346541,18.07519
59.346591,18.07524
59.346641,18.07529
59.346691,18.07534
59.346741,18.07539
59.346791,18.07544
59.346841,18.07549
59.346891,18.07554
59.346941,18.07559
59.346991,18.07564
59.347041,18.07569
59.347091,18.07574
59.347141,18.07579
59.347191,18.07584
59.347241,18.07589
59.347291,18.07594
59.347341,18.07599
59.347391,18.07604
59.347441,18.07609
59.347491,18.07614
59.347541,18.07619
59.347591,18.07624
59.347641,18.07629
59.347691,18.07634
59.347741,18.07639
59.347791,18.07644
59.347841,18.07649
59.347891,18.07654
59.347941,18.07659
59.347991,18.07664
59.348041,18.07669
59.348091,18.07674
59.348141,18.07679
59.348191,18.07684
59.348241,18.07689
59.348291,18.07694
59.348341,18.07699
59.348391,18.07704
59.348441,18.07709
59.348491,18.07714
59.348541,18.07719
59.348591,18.07724
59.348641,18.07729
59.348691,18.07734
59.348741,18.07739
59.348791,18.07744
59.348841,18.07749
59.348891,18.07754
59.348941,18.07759
59.348991,18.07764
59.349041,18.07769
59.349091,18.07774
59.349141,18.07779
59.349191,18.07784
59.349241,18.07789
59.349291,18.07794
59.349341,18.07799
59.349391,18.07804
59.349441,18.07809
59.349491,18.07814
59.349541,18.07819
59.349591,18.07824
59.349641,18.07829
59.349691,18.07834
59.349741,18.07839
59.349791,18.07844
59.349841,18.07849
59.349891,18.07854
59.349941,18.07859
59.349991,18.07864
59.350041,18.07869
59.350091,18.07874
59.350141,18.07879
59.350191,18.07884
59.350241,18.07889
59.350291,18.07894
59.350341,18.07899
59.350391,18.07904
59.350441,18.07909
59.350491,18.07914
59.350541,18.07919
59.350591,18.07924
59.350641,18.07929
59.350691,18.07934
59.350741,18.07939
59.350791,18.07944
59.350841,18.07949
59.350891,18.07954
59.350941,18.07959
59.350991,18.07964
59.351041,18.07969
59.351091,18.07974
59.351141,18.07979
59.351191,18.07984
59.351241,18.07989
59.351291,18.07994
59.351341,18.07999
59.351391,18.08004
59.351441,18.08009
59.351491,18.08014
59.351541,18.08019
59.351591,18.08024
59.351641,18.08029
